race_key,runner_key,race_date,track,race_number,runner_id,saddle_number,horse_name,split_sequence,split_label,split_start_distance_metres,split_end_distance_metres,split_distance_metres,segment_time_seconds,position_at_split_end,average_speed_source,source_page_url,source_payload_file,semantic_version
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15635698,2026-05-30,Caulfield,2,15635698,2,Emmadella,6,200m-FINISH,200,0,200,12.77,3,15.65,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15634936,2026-05-30,Caulfield,2,15634936,3,Swift Force,1,1200m-1000m,1200,1000,200,13.42,1,18.22,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15634936,2026-05-30,Caulfield,2,15634936,3,Swift Force,2,1000m-800m,1000,800,200,10.39,1,19.25,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15634936,2026-05-30,Caulfield,2,15634936,3,Swift Force,3,800m-600m,800,600,200,10.8,1,18.52,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15634936,2026-05-30,Caulfield,2,15634936,3,Swift Force,4,600m-400m,600,400,200,11.99,1,17.16,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15634936,2026-05-30,Caulfield,2,15634936,3,Swift Force,5,400m-200m,400,200,200,12.69,1,16.02,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15634936,2026-05-30,Caulfield,2,15634936,3,Swift Force,6,200m-FINISH,200,0,200,13.31,4,15.04,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15632846,2026-05-30,Caulfield,2,15632846,4,Flyer,1,1200m-1000m,1200,1000,200,14.36,8,16.89,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15632846,2026-05-30,Caulfield,2,15632846,4,Flyer,2,1000m-800m,1000,800,200,10.72,7,18.64,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15632846,2026-05-30,Caulfield,2,15632846,4,Flyer,3,800m-600m,800,600,200,11.01,8,18.18,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
