raceDate,meeting,raceNumber,runnerNumber,runnerName,rating,epi,marketPrice,edgeiqPrice,earlySpeed,suitability,raceShape,lateSpeed,formMomentum,preparationProfile,sectionalRunMatches,benchmarkRunMatches
2026-08-23,Wangaratta,5,8,Listening Is Doing,,66.53,13.0,9.48,58.7,48.7,NEUTRAL,34.2,-0.9,YES,9,9
2026-08-23,Wangaratta,5,9,Meet Me Halfway,,74.72,8.0,7.14,58.5,,,64.6,,YES,5,5
2026-08-23,Wangaratta,5,10,Densetsu,,82.21,23.0,5.75,58.049,56.4,NEUTRAL,60.2776,-2.2,YES,9,9
2026-08-23,Wangaratta,5,11,Novel Approach,,51.96,12.0,19.61,,48.8,,,-2.1,YES,8,8
2026-08-23,Wangaratta,5,12,Raging Monkey,,61.48,20.0,11.7,59.3,51.4,PRESSURE_RISK,42.1,-3.4,YES,62,62
2026-08-23,Wangaratta,5,13,Miss Himalaya,,33.525,8.5,452.06,57.3949,55.7,NEUTRAL,61.8482,-3.6,YES,34,34
2026-08-23,Wangaratta,5,14,Balgowan,,60.14,34.0,12.45,56.9,51.4,CLOSING_SETUP,32.8,-0.2,YES,27,27
2026-08-23,Wangaratta,6,1,Sabertooth,,56.35,9.5,13.62,57.74,58.6,MAP_ADVANTAGE,61.96,-3.7,YES,3,3
2026-08-23,Wangaratta,6,2,Black Adam,,66.53,23.0,7.42,,56.9,,,2.9,YES,12,12
2026-08-23,Wangaratta,6,3,Eire To The Jungle,,68.28,21.0,6.84,57.9,56.4,MAP_ADVANTAGE,59.3285,-0.1,YES,15,15
2026-08-23,Wangaratta,6,4,Jumpinmycar,,52.42,7.5,19.02,57.4,55.3,NEUTRAL,58.4,-0.0,YES,9,9
2026-08-23,Wangaratta,6,5,Royal Infantry,,62.56,11.0,9.12,55.0,56.0,NEEDS_TEMPO,44.5,3.7,YES,11,11
2026-08-23,Wangaratta,6,6,Hell's Itch,,50.71,35.0,22.68,,,,,,YES,0,0
2026-08-23,Wangaratta,6,7,Lord Porchester,,47.73,35.0,33.01,56.16,58.1,NEEDS_TEMPO,61.45,-3.5,YES,23,23
2026-08-23,Wangaratta,6,8,Turnaquid,,66.625,12.0,7.39,55.6,61.6,NEEDS_TEMPO,57.7,-4.2,YES,34,34
2026-08-23,Wangaratta,6,9,Brutify,,52.69,4.8,18.54,54.25,57.9,NEEDS_TEMPO,63.22,-3.0,YES,12,12
2026-08-23,Wangaratta,6,10,Jingu Express,,39.425,27.0,670.43,,59.2,,,-3.1,YES,17,17
2026-08-23,Wangaratta,6,11,King's Taj,,50.9,29.0,22.22,56.5,64.3,NEUTRAL,52.5,-1.7,YES,25,25
2026-08-23,Wangaratta,6,12,Karumba Girl,,50.13,26.0,24.21,57.49,57.9,NEUTRAL,58.32,-1.4,YES,8,8
2026-08-23,Wangaratta,6,13,Baby Blue,,,4.2,,58.787,,MAP_ADVANTAGE,60.1698,,YES,1,1
2026-08-23,Wangaratta,6,14,Friendzoned,,46.35,4.8,40.99,56.7,54.4,NEUTRAL,35.8,0.6,YES,10,10
2026-08-23,Wangaratta,6,15,Mishima,,62.2,16.0,9.3,57.6,57.2,NEUTRAL,32.1,-6.3,YES,29,29
