canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,segment_sequence,segment_start_metres,segment_end_metres,segment_distance_metres,average_speed_mps,average_speed_kmh,elapsed_time_seconds,observation_semantics,source_format,source_payload_sha256,parser_version,normalisation_version,calculation_version,eligibility_status,rejection_reason
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,17.340000,62.424000,11.5340,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,13.76,49.536,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.74,63.864,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.58,63.288,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.54,63.144,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.84,64.224,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,18.28,65.808,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.37,62.532,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,13.760000,49.536000,14.5349,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,17.740000,63.864000,11.2740,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
