source_owner,source_name,repository_file,json_path,value_type,container_size,value_preview,depth
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.location.lat_dec_deg,float,,-37.6486,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.location.long_dec_deg,float,,142.0636,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.stn.location.timezone,str,,Australia/Melbourne,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs,object,7,,1
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.datetime_utc,str,,2026-07-10T03:40:00Z,2
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp,object,12,,2
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.dry_bulb_1min_cel,float,,13.2,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.apparent_1min_cel,float,,9.77,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.dew_pnt_1min_cel,float,,9.07,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.wet_bulb_1min_avg_cel,float,,11.09,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.wet_bulb_globe_sun_cel,float,,15.96,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.wet_bulb_globe_shade_cel,float,,11.72,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.wet_bulb_depression_cel,float,,2.11,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.dry_bulb_max_cel,float,,13.5,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.dry_bulb_max_time_utc,str,,2026-07-10T03:39:00Z,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.dry_bulb_min_cel,float,,4.3,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.dry_bulb_min_time_utc,str,,2026-07-09T18:06:00Z,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.temp.rel_hum_percent,float,,76.0,3
